OPE ID,School,State,Zip Code,School Type,20072008Qtr2_Dependent Students,20072008Qtr2_Independent Students,Quarterly Total,YTD_20072008Qtr2_Dependent Students,YTD_20072008Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1807,968,2775,3967,1723,5690
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,489,1165,1654,874,1813,2687
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,639,369,1008,1274,604,1878
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2481,1198,3679,5468,2242,7710
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,299,530,829,546,760,1306
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,190,826,1016,325,1361,1686
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3004,1452,4456,10156,3263,13419
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,399,74,473,1339,153,1492
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,971,1556,2527,1835,2615,4450
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,283,335,618,468,508,976
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1249,853,2102,2352,1283,3635
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,632,875,1507,1140,1438,2578
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,70,121,191,138,224,362
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,388,744,1132,655,1130,1785
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,260,105,365,722,191,913
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1725,1373,3098,3830,2535,6365
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,159,228,387,252,336,588
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,981,1662,2643,1595,2585,4180
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,130,31,161,241,57,298
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,595,929,1524,1179,1604,2783
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,100,6,106,179,12,191
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,701,363,1064,1265,608,1873
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,371,543,914,872,904,1776
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,391,883,1274,583,1374,1957
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,34,52,86,41,88,129
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,29,36,65,36,57,93
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,252,379,631,422,592,1014
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,480,178,658,1111,369,1480
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,239,218,457,408,351,759
