OPE ID,School,State,Zip Code,School Type,20112012Qtr2_Dependent Students,20112012Qtr2_Independent Students,Quarterly Total,YTD_20112012Qtr2_Dependent Students,YTD_20112012Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1578,1065,2643,4831,2329,7160
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,562,1477,2039,1318,2774,4092
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,604,483,1087,1890,1146,3036
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2180,1708,3888,6479,3579,10058
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,389,747,1136,1088,1574,2662
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,331,1304,1635,661,2308,2969
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3499,2022,5521,16594,5142,21736
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,507,199,706,1646,436,2082
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1688,2886,4574,3564,5533,9097
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,405,776,1181,939,1441,2380
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1478,989,2467,3790,2030,5820
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1057,2108,3165,2371,4204,6575
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,719,1412,2131,1556,2686,4242
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,409,218,627,1204,454,1658
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,2070,2056,4126,5852,4129,9981
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,211,302,513,408,596,1004
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1680,2929,4609,3180,5728,8908
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,106,42,148,293,98,391
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,660,1823,2483,1767,3248,5015
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,200,28,228,375,56,431
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,674,455,1129,1608,916,2524
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,480,695,1175,1212,1263,2475
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,901,1799,2700,1535,3354,4889
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,448,836,1284,807,1393,2200
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,574,324,898,1463,669,2132
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,469,552,1021,842,873,1715
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,466,851,1317,2911,2241,5152
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,371,587,958,996,1312,2308
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1134,1227,2361,2661,2368,5029
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,341,222,563,2100,562,2662
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,648,234,882,1541,490,2031
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,201,136,337,512,276,788
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,2679,9067,11746,6893,16674,23567
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,829,376,1205,4705,1210,5915
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,4232,2941,7173,19346,7944,27290
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,2679,4211,6890,8205,8971,17176
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,1358,1481,2839,3614,2976,6590
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,3144,3979,7123,7353,7232,14585
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,891,1430,2321,1674,2765,4439
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,226,500,726,435,917,1352
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,1287,1470,2757,2378,2584,4962
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,186,618,804,325,1186,1511
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1415,1419,2834,3134,2884,6018
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,108,331,439,188,560,748
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,650,846,1496,1345,1542,2887
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,367,670,1037,676,1179,1855
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,622,1107,1729,1581,2386,3967
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,345,798,1143,598,1544,2142
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,159,342,501,275,628,903
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,1320,2020,3340,2451,3471,5922
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,1148,1480,2628,3361,3577,6938
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,251,441,692,863,1044,1907
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,317,213,530,555,353,908
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,324,548,872,637,1070,1707
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,129,551,680,282,1112,1394
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,7,244,251,21,437,458
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,6,25,31,12,49,61
02270400,SOUTHEASTERN BIBLE COLLEGE              ,AL,35244-2083,Private      ,23,73,96,52,128,180
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,28,61,89,46,100,146
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,36117-0000,Proprietary  ,18,123,141,20,188,208
02341000,FORTIS COLLEGE                          ,AL,36609-0000,Proprietary  ,328,842,1170,435,1256,1691
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,22,293,315,36,554,590
02605500,REMINGTON COLLEGE - MOBILE CAMPUS       ,AL,36609-5593,Proprietary  ,384,1023,1407,538,1477,2015
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,694,6729,7423,1060,12863,13923
03010602,VIRGINIA COLLEGE - HUNTSVILLE           ,AL,35805-0000,Proprietary  ,114,646,760,192,1078,1270
03010607,VIRGINIA COLLEGE - MOBILE               ,AL,36608-1626,Proprietary  ,124,584,708,194,1003,1197
03010616,VIRGINIA COLLEGE - MONTGOMERY           ,AL,36117-2802,Proprietary  ,185,750,935,318,1427,1745
03032500,ALABAMA STATE CLG BARBER STYLING        ,AL,35215-8308,Proprietary  ,17,31,48,40,76,116
03361400,FORTIS COLLEGE                          ,AL,36535-3547,Proprietary  ,49,222,271,74,333,407
03459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY      ,AL,35228-0000,Private      ,21,64,85,32,106,138
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,24,90,114,42,149,191
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,4,39,43,12,70,82
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,9,70,79,18,122,140
04067300,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,44,96,140,99,221,320
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,133,3873,4006,262,7298,7560
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,44,77,121,71,135,206
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35950-2415,Proprietary  ,5,12,17,5,12,17
04187300,HAIR ACADEMY (THE)                      ,AL,36111-2201,Proprietary  ,6,13,19,6,13,19
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,1075,1641,2716,3376,3583,6959
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,1246,2929,4175,4950,7353,12303
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,175,246,421,1529,1318,2847
