OPE ID,School,State,Zip Code,School Type,20132014Qtr1_Dependent Students,20132014Qtr1_Independent Students,Quarterly Total,YTD_20132014Qtr1_Dependent Students,YTD_20132014Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,3569,1192,4761,3569,1192,4761
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,1091,1305,2396,1091,1305,2396
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,1352,596,1948,1352,596,1948
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,5504,2134,7638,5504,2134,7638
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,680,536,1216,680,536,1216
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,356,912,1268,356,912,1268
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,12226,2868,15094,12226,2868,15094
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1345,272,1617,1345,272,1617
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1865,2134,3999,1865,2134,3999
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,567,473,1040,567,473,1040
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,2664,870,3534,2664,870,3534
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1180,1527,2707,1180,1527,2707
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,836,1059,1895,836,1059,1895
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,860,250,1110,860,250,1110
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,3804,1867,5671,3804,1867,5671
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,230,243,473,230,243,473
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1675,2598,4273,1675,2598,4273
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,162,43,205,162,43,205
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,1377,1323,2700,1377,1323,2700
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,238,37,275,238,37,275
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,1212,437,1649,1212,437,1649
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,920,646,1566,920,646,1566
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,641,1334,1975,641,1334,1975
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,398,375,773,398,375,773
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,941,423,1364,941,423,1364
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,435,253,688,435,253,688
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,2954,1209,4163,2954,1209,4163
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,797,531,1328,797,531,1328
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1561,1031,2592,1561,1031,2592
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,1838,352,2190,1838,352,2190
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,912,273,1185,912,273,1185
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,507,190,697,507,190,697
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,4444,6021,10465,4444,6021,10465
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,3686,848,4534,3686,848,4534
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,19240,5111,24351,19240,5111,24351
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,6888,4814,11702,6888,4814,11702
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,2641,1510,4151,2641,1510,4151
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,5140,3386,8526,5140,3386,8526
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,694,986,1680,694,986,1680
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,248,402,650,248,402,650
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,1140,1048,2188,1140,1048,2188
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,186,545,731,186,545,731
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1674,1187,2861,1674,1187,2861
