OPE ID,School,State,Zip Code,School Type,20072008Qtr4_Dependent Students,20072008Qtr4_Independent Students,Quarterly Total,YTD_20072008Qtr4_Dependent Students,YTD_20072008Qtr4_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,141,192,333,5098,2637,7735
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,51,299,350,1270,2986,4256
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,55,69,124,1643,921,2564
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,256,317,573,6883,3747,10630
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,68,221,289,946,1553,2499
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,25,177,202,494,2287,2781
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,379,244,623,11938,4375,16313
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,33,17,50,1478,217,1695
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,272,663,935,2969,4489,7458
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,90,186,276,817,1044,1861
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,120,211,331,3066,2117,5183
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,180,460,640,1863,2916,4779
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,0,0,0,208,346,554
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,112,436,548,1184,2490,3674
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,31,45,76,906,335,1241
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,198,370,568,4986,4088,9074
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,20,75,95,396,654,1050
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,257,692,949,2518,4552,7070
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,3,10,13,286,101,387
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,74,324,398,1566,3140,4706
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,33,7,40,309,27,336
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,66,57,123,2004,1150,3154
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,40,126,166,1078,1409,2487
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,86,376,462,1108,2704,3812
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,8,40,48,77,196,273
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,9,16,25,62,106,168
