OPE ID,School,State,Zip Code,School Type,20112012Qtr3_Dependent Students,20112012Qtr3_Independent Students,Quarterly Total,YTD_20112012Qtr3_Dependent Students,YTD_20112012Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,784,901,1685,5615,3230,8845
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,262,1044,1306,1580,3818,5398
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,219,311,530,2109,1457,3566
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1030,1345,2375,7509,4924,12433
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,330,585,915,1418,2159,3577
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,186,846,1032,847,3154,4001
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1496,1188,2684,18090,6330,24420
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,136,140,276,1782,576,2358
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1166,2186,3352,4730,7719,12449
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,282,475,757,1221,1916,3137
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,682,714,1396,4472,2744,7216
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,881,2022,2903,3252,6226,9478
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,564,1421,1985,2120,4107,6227
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,139,173,312,1343,627,1970
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,896,1527,2423,6748,5656,12404
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,155,324,479,563,920,1483
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1061,2312,3373,4241,8040,12281
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,58,43,101,351,141,492
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,302,1793,2095,2069,5041,7110
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,99,17,116,474,73,547
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,414,414,828,2022,1330,3352
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,228,538,766,1440,1801,3241
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,615,1545,2160,2150,4899,7049
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,466,889,1355,1273,2282,3555
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,346,271,617,1809,940,2749
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,228,344,572,1070,1217,2287
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,216,486,702,3127,2727,5854
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,275,511,786,1271,1823,3094
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,591,776,1367,3252,3144,6396
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,94,176,270,2194,738,2932
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,205,128,333,1746,618,2364
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,158,143,301,670,419,1089
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,1274,6630,7904,8167,23304,31471
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,286,213,499,4991,1423,6414
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,1788,1937,3725,21134,9881,31015
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,1022,2265,3287,9227,11236,20463
