OPE ID,School,State,Zip Code,School Type,20102011Qtr2_Dependent Students,20102011Qtr2_Independent Students,Quarterly Total,YTD_20102011Qtr2_Dependent Students,YTD_20102011Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1648,1094,2742,4992,2239,7231
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,550,1440,1990,1190,2515,3705
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,670,573,1243,1751,1082,2833
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2379,1651,4030,6765,3299,10064
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,357,705,1062,911,1197,2108
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,281,1180,1461,549,2089,2638
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3292,1948,5240,14086,4495,18581
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,464,179,643,1891,388,2279
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1626,2828,4454,3359,5044,8403
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,380,733,1113,873,1259,2132
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1566,993,2559,3789,1747,5536
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1008,1954,2962,2204,3630,5834
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,619,1381,2000,1342,2381,3723
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,387,170,557,1108,337,1445
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1978,1842,3820,5294,3702,8996
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,221,333,554,439,625,1064
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1874,3052,4926,3196,5296,8492
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,132,40,172,296,74,370
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,705,1673,2378,1608,2888,4496
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,200,28,228,433,50,483
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,766,452,1218,1654,855,2509
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,453,697,1150,1137,1187,2324
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,815,1758,2573,1320,2820,4140
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,80,205,285,121,335,456
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,46,116,162,86,199,285
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,417,750,1167,740,1226,1966
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,514,294,808,1491,575,2066
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,409,455,864,775,709,1484
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,480,933,1413,2817,2419,5236
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,373,652,1025,931,1281,2212
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1032,1197,2229,2286,2099,4385
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,439,234,673,1855,453,2308
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,738,217,955,1892,435,2327
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,188,115,303,467,247,714
00104700,TROY STATE UNIVERSITY                   ,AL,36082-0001,Public       ,2715,8992,11707,6529,16087,22616
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,856,313,1169,4404,1030,5434
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,4843,3426,8269,17419,7856,25275
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,2503,4146,6649,7309,8206,15515
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,1310,1566,2876,3353,2776,6129
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,2996,3876,6872,6815,6993,13808
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,865,1442,2307,1530,2387,3917
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,233,475,708,364,861,1225
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,1102,1311,2413,2110,2176,4286
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,172,557,729,287,1010,1297
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1458,1455,2913,2966,2495,5461
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,86,277,363,138,399,537
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,647,813,1460,1257,1405,2662
00569702,NORTHWEST-SHOALS C.C.-PHIL CAMPBELL     ,AL,35581-0000,Public       ,106,133,239,239,229,468
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,367,596,963,640,993,1633
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,345,788,1133,844,1412,2256
00573301,BEVILL STATE COMMUNITY COLLEGE - FAYETTE,AL,35555-0000,Public       ,163,288,451,378,540,918
00573302,BEVILL STATE CMTY CLG-HAMILTON CAMP     ,AL,35570-0000,Public       ,67,143,210,166,282,448
00573305,BEVILL STATE CMTY CLG-WALKER CLG        ,AL,35501-0000,Public       ,135,210,345,316,386,702
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,275,692,967,440,1138,1578
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,130,284,414,231,503,734
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,1344,1880,3224,2312,3059,5371
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,1248,1666,2914,2884,3123,6007
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,272,450,722,699,797,1496
01019300,HERZING COLLEGE                         ,AL,35209-4816,Proprietary  ,51,411,462,94,795,889
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,279,164,443,492,272,764
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,288,531,819,571,907,1478
