OPE ID,School,State,Zip Code,School Type,20092010Qtr1_Dependent Students,20092010Qtr1_Independent Students,Quarterly Total,YTD_20092010Qtr1_Dependent Students,YTD_20092010Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,2932,950,3882,2932,950,3882
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,514,990,1504,514,990,1504
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,908,341,1249,908,341,1249
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,3866,1357,5223,3866,1357,5223
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,553,408,961,553,408,961
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,197,759,956,197,759,956
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,9230,2290,11520,9230,2290,11520
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1260,123,1383,1260,123,1383
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1498,1885,3383,1498,1885,3383
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,360,338,698,360,338,698
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1871,628,2499,1871,628,2499
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,951,1223,2174,951,1223,2174
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,540,648,1188,540,648,1188
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,535,147,682,535,147,682
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,2949,1518,4467,2949,1518,4467
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,153,211,364,153,211,364
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,973,1509,2482,973,1509,2482
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,153,35,188,153,35,188
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,813,1336,2149,813,1336,2149
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,176,12,188,176,12,188
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,738,306,1044,738,306,1044
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,558,384,942,558,384,942
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,344,808,1152,344,808,1152
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,24,66,90,24,66,90
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,23,19,42,23,19,42
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,382,360,742,382,360,742
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,817,242,1059,817,242,1059
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,251,190,441,251,190,441
