OPE ID,School,State,Zip Code,School Type,20092010Qtr6_Dependent Students,20092010Qtr6_Independent Students,Quarterly Total,YTD_20092010Qtr6_Dependent Students,YTD_20092010Qtr6_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,68,67,135,5607,3187,8794
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,13,88,101,1437,3982,5419
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,17,51,68,1984,1353,3337
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,243,136,379,7957,4875,12832
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,43,131,174,1391,2385,3776
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,8,87,95,630,3150,3780
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,109,143,252,14537,5678,20215
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,6,5,11,1864,378,2242
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,91,278,369,4608,8059,12667
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,46,115,161,1265,2004,3269
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,48,72,120,4222,2694,6916
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,87,292,379,3230,6385,9615
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,108,251,359,2037,4353,6390
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,5,15,20,1065,537,1602
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,70,132,202,6041,5416,11457
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,31,59,90,678,1170,1848
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,52,226,278,3763,7460,11223
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,2,2,4,320,127,447
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,38,203,241,1806,5118,6924
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,3,0,3,559,80,639
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,10,34,44,2193,1401,3594
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,8,55,63,1228,1635,2863
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,57,194,251,1872,4812,6684
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,7,21,28,151,441,592
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,3,7,10,87,198,285
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,62,174,236,1443,2650,4093
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,4,10,14,1807,751,2558
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,45,54,99,1158,1394,2552
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,7,60,67,2783,2621,5404
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,13,50,63,1129,2061,3190
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,37,121,158,2969,3346,6315
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,8,13,21,1830,611,2441
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,20,13,33,2235,547,2782
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,4,10,14,585,355,940
