OPE ID,School,State,Zip Code,School Type,20112012Qtr1_Dependent Students,20112012Qtr1_Independent Students,Quarterly Total,YTD_20112012Qtr1_Dependent Students,YTD_20112012Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,3253,1264,4517,3253,1264,4517
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,756,1297,2053,756,1297,2053
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,1286,663,1949,1286,663,1949
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,4299,1871,6170,4299,1871,6170
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,699,827,1526,699,827,1526
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,330,1004,1334,330,1004,1334
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,13095,3120,16215,13095,3120,16215
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1139,237,1376,1139,237,1376
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1876,2647,4523,1876,2647,4523
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,534,665,1199,534,665,1199
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,2312,1041,3353,2312,1041,3353
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1314,2096,3410,1314,2096,3410
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,837,1274,2111,837,1274,2111
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,795,236,1031,795,236,1031
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,3782,2073,5855,3782,2073,5855
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,197,294,491,197,294,491
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1500,2799,4299,1500,2799,4299
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,187,56,243,187,56,243
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,1107,1425,2532,1107,1425,2532
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,175,28,203,175,28,203
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,934,461,1395,934,461,1395
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,732,568,1300,732,568,1300
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,634,1555,2189,634,1555,2189
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,359,557,916,359,557,916
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,889,345,1234,889,345,1234
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,373,321,694,373,321,694
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,2445,1390,3835,2445,1390,3835
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,625,725,1350,625,725,1350
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1527,1141,2668,1527,1141,2668
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,1759,340,2099,1759,340,2099
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,893,256,1149,893,256,1149
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,311,140,451,311,140,451
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,4214,7607,11821,4214,7607,11821
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,3876,834,4710,3876,834,4710
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,15114,5003,20117,15114,5003,20117
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,5526,4760,10286,5526,4760,10286
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,2256,1495,3751,2256,1495,3751
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,4209,3253,7462,4209,3253,7462
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,783,1335,2118,783,1335,2118
