OPE ID,School,State,Zip Code,School Type,20062007Qtr2_Dependent Students,20062007Qtr2_Independent Students,Quarterly Total,YTD_20062007Qtr2_Dependent Students,YTD_20062007Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,2064,1220,3284,4566,2181,6747
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,351,978,1329,652,1581,2233
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,643,341,984,1204,597,1801
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2356,1132,3488,5201,2204,7405
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,278,447,725,521,684,1205
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,206,780,986,343,1361,1704
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3383,1561,4944,10170,3462,13632
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,320,87,407,985,174,1159
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,968,1537,2505,1841,2748,4589
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,278,313,591,437,505,942
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1268,805,2073,2408,1322,3730
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,589,873,1462,1079,1443,2522
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,56,111,167,116,204,320
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,369,733,1102,603,1123,1726
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,321,95,416,687,162,849
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,1601,1346,2947,3493,2539,6032
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,116,203,319,199,357,556
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,890,1480,2370,1421,2428,3849
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,116,33,149,201,62,263
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,601,817,1418,1207,1377,2584
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,104,8,112,138,12,150
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,635,401,1036,1102,612,1714
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,370,594,964,748,1028,1776
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,508,1199,1707,783,1995,2778
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,33,61,94,52,100,152
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,27,44,71,40,65,105
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,212,387,599,392,571,963
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,483,174,657,1101,378,1479
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,214,224,438,355,341,696
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,437,576,1013,2180,1833,4013
00103700,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,2,3,5,2,3,5
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,259,376,635,454,645,1099
