OPE ID,School,State,Zip Code,School Type,20102011Qtr5_Dependent Students,20102011Qtr5_Independent Students,Quarterly Total,YTD_20102011Qtr5_Dependent Students,YTD_20102011Qtr5_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,105,132,237,6074,3477,9551
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,45,254,299,1611,4150,5761
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,43,47,90,2110,1554,3664
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,190,175,365,8409,5194,13603
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,108,122,230,1534,2369,3903
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,17,128,145,811,3454,4265
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,350,208,558,16503,6220,22723
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,32,25,57,2121,612,2733
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,195,438,633,5112,8794,13906
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,51,111,162,1344,2353,3697
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,110,123,233,4795,2977,7772
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,143,400,543,3526,6928,10454
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,95,296,391,2207,4794,7001
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,25,32,57,1301,595,1896
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,133,237,370,6538,5882,12420
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,36,49,85,700,1162,1862
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,157,442,599,4589,8743,13332
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,6,7,13,356,122,478
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,83,280,363,2081,5238,7319
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,10,2,12,590,78,668
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,51,51,102,2261,1445,3706
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,19,70,89,1452,1928,3380
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,92,279,371,2155,5096,7251
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,0,0,0,179,480,659
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,0,0,0,128,292,420
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,85,183,268,1382,2681,4063
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,41,46,87,1962,930,2892
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,50,69,119,1189,1443,2632
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,43,86,129,3164,3133,6297
00103700,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,0,0,0,0,3,3
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,39,109,148,1284,2207,3491
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,86,185,271,3216,3495,6711
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,17,30,47,2017,750,2767
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,41,21,62,2223,644,2867
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,15,17,32,684,421,1105
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,219,1412,1631,8515,26651,35166
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,88,27,115,4913,1289,6202
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,386,352,738,20180,10685,30865
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,217,386,603,9001,11851,20852
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,93,150,243,4325,4364,8689
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,182,428,610,8429,10095,18524
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,173,333,506,2805,5043,7848
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,43,95,138,639,1588,2227
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,98,161,259,3138,3798,6936
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,36,160,196,590,2133,2723
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,221,207,428,4619,4671,9290
