OPE ID,School,State,Zip Code,School Type,20132014Qtr6_Dependent Students,20132014Qtr6_Independent Students,Quarterly Total,YTD_20132014Qtr6_Dependent Students,YTD_20132014Qtr6_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,72,75,147,6639,3897,10536
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,24,136,160,2152,4550,6702
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,20,31,51,2647,1644,4291
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,211,133,344,10724,6579,17303
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,28,100,128,1551,2183,3734
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,13,95,108,1033,3642,4675
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,102,134,236,19115,7220,26335
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,8,21,29,2180,948,3128
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,107,290,397,5812,9129,14941
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,37,66,103,1445,1956,3401
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,39,59,98,5948,3229,9177
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,54,193,247,3439,6535,9974
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,75,190,265,2684,4939,7623
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,8,29,37,1664,888,2552
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,56,131,187,7468,6154,13622
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,22,42,64,736,1009,1745
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,96,286,382,5466,9904,15370
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,3,5,8,380,176,556
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,31,186,217,2807,5227,8034
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,5,2,7,572,105,677
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,154,47,201,2862,1507,4369
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,17,46,63,2035,2418,4453
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,64,189,253,2781,5935,8716
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,87,136,223,1699,2206,3905
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,6,24,30,2023,1282,3305
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,53,42,95,1361,1169,2530
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,19,71,90,4070,3254,7324
00103700,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,0,1,1,0,1,1
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,20,72,92,1757,2170,3927
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,41,118,159,3785,3760,7545
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,14,25,39,2639,1129,3768
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,56,26,82,2007,838,2845
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,16,9,25,1159,606,1765
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,88,606,694,9815,23388,33203
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,43,18,61,5526,1617,7143
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,167,228,395,29327,12763,42090
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,77,242,319,12894,14466,27360
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,40,112,152,5616,5155,10771
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,104,264,368,11406,11625,23031
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,79,201,280,2556,4457,7013
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,22,73,95,893,1724,2617
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,61,159,220,3735,4227,7962
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,19,101,120,796,2541,3337
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,112,148,260,4787,4518,9305
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,17,47,64,289,813,1102
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,137,152,289,2956,2971,5927
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,114,103,217,1424,2175,3599
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,71,144,215,2524,3762,6286
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,39,91,130,969,2511,3480
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,23,53,76,591,1400,1991
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,91,156,247,3937,4723,8660
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,57,128,185,4950,5345,10295
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,34,42,76,1226,1451,2677
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,36,11,47,875,583,1458
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,29,82,111,1309,2467,3776
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,22,120,142,493,1979,2472
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,4,27,31,50,829,879
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,0,3,3,40,104,144
02270400,SOUTHEASTERN BIBLE COLLEGE              ,AL,35244-2083,Private      ,1,7,8,153,353,506
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,8,13,21,116,231,347
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,36117-0000,Proprietary  ,0,7,7,56,393,449
02341000,FORTIS COLLEGE                          ,AL,36609-0000,Proprietary  ,44,158,202,870,2927,3797
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,1,63,64,94,1401,1495
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,461,2417,2878,4645,26923,31568
03010602,VIRGINIA COLLEGE - HUNTSVILLE           ,AL,35805-0000,Proprietary  ,3,44,47,282,1183,1465
03010607,VIRGINIA COLLEGE - MOBILE               ,AL,36608-1626,Proprietary  ,11,24,35,458,1749,2207
03010616,VIRGINIA COLLEGE - MONTGOMERY           ,AL,36117-2802,Proprietary  ,25,58,83,506,2000,2506
03026516,REMINGTON COLLEGE - MOBILE              ,AL,36609-5593,Private      ,7,18,25,714,1899,2613
03032500,ALABAMA STATE CLG BARBER STYLING        ,AL,35215-0000,Proprietary  ,3,11,14,110,224,334
03361400,FORTIS COLLEGE                          ,AL,36535-0000,Proprietary  ,15,40,55,223,820,1043
03459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY      ,AL,35228-0000,Private      ,3,7,10,50,192,242
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,4,18,22,139,435,574
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,0,8,8,35,278,313
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,1,10,11,71,371,442
04067300,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,9,16,25,253,706,959
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,12,602,614,620,17547,18167
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,6,21,27,124,335,459
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35950-2415,Proprietary  ,2,5,7,77,182,259
04187300,HAIR ACADEMY (THE)                      ,AL,36111-2201,Proprietary  ,4,6,10,75,189,264
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35476-3100,Proprietary  ,0,5,5,50,112,162
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,2,10,12,76,206,282
04217900,NUNATION SCHOOL OF COSMETOLOGY          ,AL,35064-2222,Proprietary  ,0,7,7,0,10,10
04226700,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE ,AL,36303-2251,Private      ,1,109,110,1,109,110
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,37,112,149,5402,6264,11666
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,181,422,603,8195,14005,22200
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,4,16,20,2061,1726,3787
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,27,295,322,11044,10636,21680
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,207,415,622,11932,13054,24986
00111900,BARSTOW COMMUNITY COLLEGE               ,CA,92311-6608,Public       ,44,249,293,1673,5207,6880
00112000,AMER BAPT SEM OF THE WEST-BERKELEY      ,CA,94704-0000,Private      ,0,1,1,13,68,81
00112200,BIOLA UNIVERSITY                        ,CA,90639-0001,Private      ,8,14,22,6999,2486,9485
00112300,BROOKS INSTITUTE                        ,CA,93103-1809,Proprietary  ,4,5,9,568,479,1047
00112400,CABRILLO COLLEGE                        ,CA,95003-3194,Public       ,80,143,223,5673,6583,12256
00112500,CALIFORNIA BAPTIST UNIVERSITY           ,CA,92504-3297,Private      ,25,157,182,7640,6601,14241
00112700,CALIFORNIA COLLEGE OF THE ARTS          ,CA,94107-2206,Private      ,9,8,17,2498,2112,4610
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY      ,CA,91125-0001,Private      ,6,10,16,3755,793,4548
00113200,CALIFORNIA INSTITUTE OF THE ARTS        ,CA,91355-2397,Private      ,6,9,15,2824,1719,4543
00113300,CALIFORNIA LUTHERAN UNIVERSITY          ,CA,91360-2787,Private      ,8,64,72,5401,2118,7519
00113400,CALIFORNIA MARITIME ACADEMY             ,CA,94590-8181,Public       ,1,4,5,1145,505,1650
00113700,CALIF STATE UNIV-FULLERTON              ,CA,92831-3599,Public       ,71,145,216,51170,25356,76526
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY   ",CA,94542-3000,Public       ,39,117,156,17901,15622,33523
00113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,76,143,219,60579,27153,87732
00114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,70,158,228,38696,25009,63705
