OPE ID,School,State,Zip Code,School Type,20102011Qtr3_Dependent Students,20102011Qtr3_Independent Students,Quarterly Total,YTD_20102011Qtr3_Dependent Students,YTD_20102011Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,851,890,1741,5843,3129,8972
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,309,1081,1390,1499,3596,5095
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,254,306,560,2005,1388,3393
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1168,1404,2572,7933,4703,12636
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,410,751,1161,1321,1948,3269
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,198,987,1185,747,3076,3823
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1490,1100,2590,15576,5595,21171
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,153,137,290,2044,525,2569
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1144,2230,3374,4503,7274,11777
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,323,649,972,1196,1908,3104
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,723,854,1577,4512,2601,7113
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,930,2094,3024,3134,5724,8858
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,599,1548,2147,1941,3929,5870
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,120,179,299,1228,516,1744
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,887,1504,2391,6181,5206,11387
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,181,360,541,620,985,1605
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,879,1957,2836,4075,7253,11328
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,45,33,78,341,107,448
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,334,1680,2014,1942,4568,6510
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,120,18,138,553,68,621
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,491,437,928,2145,1292,3437
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,223,510,733,1360,1697,3057
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,535,1359,1894,1855,4179,6034
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,58,145,203,179,480,659
00103002,BISHOP STAT COMM CLG-SW CMPS            ,AL,36605-0000,Public       ,42,93,135,128,292,420
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,465,956,1421,1205,2182,3387
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,380,233,613,1871,808,2679
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,293,422,715,1068,1131,2199
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,211,440,651,3028,2859,5887
00103700,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,0,2,2,0,2,2
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,241,603,844,1172,1884,3056
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,614,783,1397,2900,2882,5782
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,94,189,283,1949,642,2591
00104400,STILLMAN COLLEGE                        ,AL,35403-1430,Private      ,242,140,382,2134,575,2709
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,156,107,263,623,354,977
00104700,TROY STATE UNIVERSITY                   ,AL,36082-0001,Public       ,1367,7122,8489,7896,23209,31105
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,307,179,486,4711,1209,5920
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,1733,1842,3575,19152,9698,28850
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,1132,2400,3532,8441,10606,19047
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,690,1074,1764,4043,3850,7893
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,1065,1897,2962,7880,8890,16770
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,945,1745,2690,2475,4132,6607
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,194,483,677,558,1344,1902
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,700,1045,1745,2810,3221,6031
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,215,712,927,502,1722,2224
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1123,1410,2533,4089,3905,7994
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,130,358,488,268,757,1025
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,644,1062,1706,1901,2467,4368
00569702,NORTHWEST-SHOALS C.C.-PHIL CAMPBELL     ,AL,35581-0000,Public       ,95,122,217,334,351,685
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,465,860,1325,1105,1853,2958
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,482,1046,1528,1326,2458,3784
00573301,BEVILL STATE COMMUNITY COLLEGE - FAYETTE,AL,35555-0000,Public       ,90,265,355,468,805,1273
00573302,BEVILL STATE CMTY CLG-HAMILTON CAMP     ,AL,35570-0000,Public       ,44,135,179,210,417,627
00573305,BEVILL STATE CMTY CLG-WALKER CLG        ,AL,35501-0000,Public       ,87,189,276,403,575,978
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,341,823,1164,781,1961,2742
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,142,300,442,373,803,1176
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,766,1460,2226,3078,4519,7597
