OPE ID,School,State,Zip Code,School Type,20062007Qtr6_Dependent Students,20062007Qtr6_Independent Students,Quarterly Total,YTD_20062007Qtr6_Dependent Students,YTD_20062007Qtr6_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,40,57,97,5663,3141,8804
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,15,67,82,1066,2907,3973
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,11,29,40,1620,955,2575
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,78,135,213,6766,3853,10619
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,31,85,116,1005,1734,2739
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,6,63,69,534,2222,2756
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,91,64,155,12265,4723,16988
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,7,6,13,1206,279,1485
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,101,196,297,3063,4858,7921
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,18,63,81,773,1135,1908
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,37,73,110,3299,2261,5560
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,55,146,201,1896,3140,5036
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,4,20,24,210,441,651
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,41,108,149,1191,2524,3715
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,3,12,15,836,321,1157
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,50,102,152,4769,4382,9151
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,33,44,77,445,773,1218
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,45,150,195,2553,4664,7217
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,2,6,8,258,116,374
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,21,172,193,1648,2936,4584
