OPE ID,School,State,Zip Code,School Type,20132014Qtr5_Dependent Students,20132014Qtr5_Independent Students,Quarterly Total,YTD_20132014Qtr5_Dependent Students,YTD_20132014Qtr5_nan,Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,129,131,260,6567,,3822,10389
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,53,188,241,2128,,4414,6542
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,35,49,84,2627,,1613,4240
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,252,218,470,10513,,6446,16959
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,54,95,149,1523,,2083,3606
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,16,126,142,1020,,3547,4567
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,341,244,585,19013,,7086,26099
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,44,40,84,2172,,927,3099
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,153,404,557,5705,,8839,14544
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,46,80,126,1408,,1890,3298
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,96,90,186,5909,,3170,9079
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,109,269,378,3385,,6342,9727
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,81,217,298,2609,,4749,7358
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,37,38,75,1656,,859,2515
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,121,193,314,7412,,6023,13435
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,29,46,75,714,,967,1681
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,131,417,548,5370,,9618,14988
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,10,11,21,377,,171,548
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,72,263,335,2776,,5041,7817
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,6,0,6,567,,103,670
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,68,50,118,2708,,1460,4168
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,34,58,92,2018,,2372,4390
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,84,238,322,2717,,5746,8463
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,118,115,233,1612,,2070,3682
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,30,42,72,2017,,1258,3275
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,61,50,111,1308,,1127,2435
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,57,94,151,4051,,3183,7234
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,71,96,167,1737,,2098,3835
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,73,153,226,3744,,3642,7386
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,44,42,86,2625,,1104,3729
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,52,36,88,1951,,812,2763
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,33,27,60,1143,,597,1740
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,196,1017,1213,9727,,22782,32509
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,77,37,114,5483,,1599,7082
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,410,394,804,29160,,12535,41695
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,238,444,682,12817,,14224,27041
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,97,194,291,5576,,5043,10619
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,188,362,550,11302,,11361,22663
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,123,291,414,2477,,4256,6733
