OPE ID,School,State,Zip Code,School Type,20142015Qtr1_Dependent Students,20142015Qtr1_Independent Students,Quarterly Total,YTD_20142015Qtr1_Dependent Students,YTD_20142015Qtr1_nan,Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,3633,1215,4848,3633,,1215,4848
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,1331,1171,2502,1331,,1171,2502
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,1491,546,2037,1491,,546,2037
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,5408,2002,7410,5408,,2002,7410
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,693,426,1119,693,,426,1119
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,362,1017,1379,362,,1017,1379
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,13566,3047,16613,13566,,3047,16613
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1549,280,1829,1549,,280,1829
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,1876,2013,3889,1876,,2013,3889
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,584,420,1004,584,,420,1004
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,2529,928,3457,2529,,928,3457
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1263,1376,2639,1263,,1376,2639
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,898,1008,1906,898,,1008,1906
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,824,255,1079,824,,255,1079
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,3817,1684,5501,3817,,1684,5501
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,189,236,425,189,,236,425
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1696,2372,4068,1696,,2372,4068
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,195,64,259,195,,64,259
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,1311,1124,2435,1311,,1124,2435
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,282,31,313,282,,31,313
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,1290,459,1749,1290,,459,1749
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,958,583,1541,958,,583,1541
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,718,1198,1916,718,,1198,1916
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,431,347,778,431,,347,778
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,927,378,1305,927,,378,1305
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,407,249,656,407,,249,656
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,2859,1210,4069,2859,,1210,4069
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,844,504,1348,844,,504,1348
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1608,1005,2613,1608,,1005,2613
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,1791,319,2110,1791,,319,2110
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,986,279,1265,986,,279,1265
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,654,200,854,654,,200,854
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,4459,5320,9779,4459,,5320,9779
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,3515,804,4319,3515,,804,4319
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,19729,4992,24721,19729,,4992,24721
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,6918,4736,11654,6918,,4736,11654
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,2726,1493,4219,2726,,1493,4219
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,5341,3417,8758,5341,,3417,8758
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,736,887,1623,736,,887,1623
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,274,400,674,274,,400,674
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,1217,1031,2248,1217,,1031,2248
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,188,505,693,188,,505,693
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1515,1111,2626,1515,,1111,2626
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,69,154,223,69,,154,223
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,789,524,1313,789,,524,1313
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,358,389,747,358,,389,747
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,1029,820,1849,1029,,820,1849
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,235,492,727,235,,492,727
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,156,321,477,156,,321,477
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,1266,1055,2321,1266,,1055,2321
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,2684,1878,4562,2684,,1878,4562
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,556,337,893,556,,337,893
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,217,123,340,217,,123,340
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,410,597,1007,410,,597,1007
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,120,395,515,120,,395,515
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,16,222,238,16,,222,238
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,11,16,27,11,,16,27
02270400,SOUTHEASTERN BIBLE COLLEGE              ,AL,35244-2083,Private      ,49,92,141,49,,92,141
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,29,55,84,29,,55,84
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,36117-0000,Proprietary  ,15,77,92,15,,77,92
02341000,FORTIS COLLEGE                          ,AL,36609-0000,Proprietary  ,152,626,778,152,,626,778
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,27,275,302,27,,275,302
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,572,4165,4737,572,,4165,4737
03010602,VIRGINIA COLLEGE - HUNTSVILLE           ,AL,35805-0000,Proprietary  ,66,267,333,66,,267,333
03010607,VIRGINIA COLLEGE - MOBILE               ,AL,36608-1626,Proprietary  ,95,278,373,95,,278,373
03010616,VIRGINIA COLLEGE - MONTGOMERY           ,AL,36117-2802,Proprietary  ,109,519,628,109,,519,628
03026516,REMINGTON COLLEGE - MOBILE              ,AL,36609-5593,Private      ,92,193,285,92,,193,285
03032500,ALABAMA STATE CLG BARBER STYLING        ,AL,35215-0000,Proprietary  ,55,49,104,55,,49,104
03361400,FORTIS COLLEGE                          ,AL,36535-0000,Proprietary  ,33,123,156,33,,123,156
03459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY      ,AL,35228-0000,Private      ,15,37,52,15,,37,52
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,20,80,100,20,,80,100
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,10,57,67,10,,57,67
