OPE ID,School,State,Zip Code,School Type,20102011Qtr1_Dependent Students,20102011Qtr1_Independent Students,Quarterly Total,YTD_20102011Qtr1_Dependent Students,YTD_20102011Qtr1_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,3344,1145,4489,3344,1145,4489
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,640,1075,1715,640,1075,1715
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,1081,509,1590,1081,509,1590
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,4386,1648,6034,4386,1648,6034
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,554,492,1046,554,492,1046
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,268,909,1177,268,909,1177
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,10794,2547,13341,10794,2547,13341
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,1427,209,1636,1427,209,1636
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,1733,2216,3949,1733,2216,3949
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,493,526,1019,493,526,1019
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,2223,754,2977,2223,754,2977
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,1196,1676,2872,1196,1676,2872
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,723,1000,1723,723,1000,1723
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,721,167,888,721,167,888
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,3316,1860,5176,3316,1860,5176
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,218,292,510,218,292,510
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1322,2244,3566,1322,2244,3566
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,164,34,198,164,34,198
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,903,1215,2118,903,1215,2118
