OPE ID,School,State,Zip Code,School Type,20142015Qtr2_Dependent Students,20142015Qtr2_Independent Students,Quarterly Total,YTD_20142015Qtr2_Dependent Students,YTD_20142015Qtr2_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,1789,1220,3009,5422,2435,7857
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,532,1446,1978,1863,2617,4480
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,709,508,1217,2200,1054,3254
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,2568,1775,4343,7976,3777,11753
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,331,534,865,1024,960,1984
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,346,1232,1578,708,2249,2957
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,3496,2172,5668,17062,5219,22281
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,294,216,510,1843,496,2339
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,1745,2722,4467,3621,4735,8356
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,366,510,876,950,930,1880
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,1675,1005,2680,4204,1933,6137
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,999,1670,2669,2262,3046,5308
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,810,1429,2239,1708,2437,4145
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,452,283,735,1276,538,1814
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,2289,2208,4497,6106,3892,9998
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,194,301,495,383,537,920
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,1884,2912,4796,3580,5284,8864
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,92,56,148,287,120,407
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,804,1450,2254,2115,2574,4689
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,191,35,226,473,66,539
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,830,459,1289,2120,918,3038
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,677,776,1453,1635,1359,2994
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,948,1662,2610,1666,2860,4526
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,391,495,886,822,842,1664
00103300,OAKWOOD COLLEGE                         ,AL,35896-0001,Private      ,550,379,929,1477,757,2234
00103400,ALABAMA SOUTHERN COMMUNITY COLLEGE      ,AL,36460-5698,Public       ,437,321,758,844,570,1414
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,596,985,1581,3455,2195,5650
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,487,628,1115,1331,1132,2463
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,1163,1131,2294,2771,2136,4907
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,528,321,849,2319,640,2959
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,648,240,888,1634,519,2153
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,350,169,519,1004,369,1373
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,2731,6599,9330,7190,11919,19109
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,1050,392,1442,4565,1196,5761
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,5564,3684,9248,25293,8676,33969
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,3275,4863,8138,10193,9599,19792
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,1453,1702,3155,4179,3195,7374
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,3889,4222,8111,9230,7639,16869
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,814,1164,1978,1550,2051,3601
00105901,LAWSON STATE COMMUNITY COLLEGE - BESSEME,AL,35021-0308,Public       ,271,501,772,545,901,1446
00106000,FAULKNER STATE COMMUNITY COLLEGE        ,AL,36507-2698,Public       ,1420,1380,2800,2637,2411,5048
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,227,707,934,415,1212,1627
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,1476,1282,2758,2991,2393,5384
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,82,184,266,151,338,489
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,672,709,1381,1461,1233,2694
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,462,525,987,820,914,1734
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,615,988,1603,1644,1808,3452
00573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE ,AL,36108-0020,Public       ,303,634,937,538,1126,1664
00573401,H. C. TRENHOLM ST TECH COL-PATTERSON CAM,AL,36116-2612,Public       ,201,394,595,357,715,1072
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,1437,1614,3051,2703,2669,5372
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,1234,1474,2708,3918,3352,7270
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,290,358,648,846,695,1541
01055400,CONCORDIA COLLEGE                       ,AL,36701-3323,Private      ,389,176,565,606,299,905
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,396,762,1158,806,1359,2165
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,139,576,715,259,971,1230
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,13,230,243,29,452,481
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,10,31,41,21,47,68
02270400,SOUTHEASTERN BIBLE COLLEGE              ,AL,35244-2083,Private      ,39,97,136,88,189,277
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,40,56,96,69,111,180
02296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,36117-0000,Proprietary  ,22,144,166,37,221,258
02341000,FORTIS COLLEGE                          ,AL,36609-0000,Proprietary  ,297,947,1244,449,1573,2022
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,50,330,380,77,605,682
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,1869,9889,11758,2441,14054,16495
03010602,VIRGINIA COLLEGE - HUNTSVILLE           ,AL,35805-0000,Proprietary  ,68,303,371,134,570,704
03010607,VIRGINIA COLLEGE - MOBILE               ,AL,36608-1626,Proprietary  ,81,295,376,176,573,749
03010616,VIRGINIA COLLEGE - MONTGOMERY           ,AL,36117-2802,Proprietary  ,160,445,605,269,964,1233
03026516,REMINGTON COLLEGE - MOBILE              ,AL,36609-5593,Private      ,94,225,319,186,418,604
03032500,ALABAMA STATE CLG BARBER STYLING        ,AL,35215-0000,Proprietary  ,23,38,61,78,87,165
03361400,FORTIS COLLEGE                          ,AL,36535-0000,Proprietary  ,45,217,262,78,340,418
03459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY      ,AL,35228-0000,Private      ,15,29,44,30,66,96
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,43,130,173,63,210,273
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,7,78,85,17,135,152
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,27,130,157,47,206,253
04067300,SELMA UNIVERSITY                        ,AL,36701-0000,Private      ,62,110,172,136,281,417
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,185,5836,6021,377,11284,11661
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,45,86,131,78,164,242
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35950-2415,Proprietary  ,46,57,103,77,93,170
04187300,HAIR ACADEMY (THE)                      ,AL,36111-2201,Proprietary  ,25,34,59,39,68,107
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35476-3100,Proprietary  ,19,26,45,35,43,78
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,21,43,64,42,97,139
04217900,NUNATION SCHOOL OF COSMETOLOGY          ,AL,35064-2222,Proprietary  ,4,14,18,4,19,23
04226700,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE ,AL,36303-2251,Private      ,9,199,208,9,199,208
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,1071,1810,2881,4075,3845,7920
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,1994,4035,6029,6427,8844,15271
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,252,333,585,1756,1261,3017
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,834,2229,3063,9639,7078,16717
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,2054,3347,5401,10269,8655,18924
00111900,BARSTOW COMMUNITY COLLEGE               ,CA,92311-6608,Public       ,335,1105,1440,1024,2378,3402
00112000,AMER BAPT SEM OF THE WEST-BERKELEY      ,CA,94704-0000,Private      ,1,25,26,10,45,55
00112200,BIOLA UNIVERSITY                        ,CA,90639-0001,Private      ,631,582,1213,6157,1963,8120
00112300,BROOKS INSTITUTE                        ,CA,93103-1809,Proprietary  ,77,84,161,441,270,711
00112400,CABRILLO COLLEGE                        ,CA,95003-3194,Public       ,919,1501,2420,4372,3842,8214
00112500,CALIFORNIA BAPTIST UNIVERSITY           ,CA,92504-3297,Private      ,587,1309,1896,7366,4828,12194
00112700,CALIFORNIA COLLEGE OF THE ARTS          ,CA,94107-2206,Private      ,336,396,732,2261,1520,3781
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY      ,CA,91125-0001,Private      ,194,109,303,3719,602,4321
00113200,CALIFORNIA INSTITUTE OF THE ARTS        ,CA,91355-2397,Private      ,238,184,422,2545,1488,4033
00113300,CALIFORNIA LUTHERAN UNIVERSITY          ,CA,91360-2787,Private      ,313,497,810,5059,1427,6486
00113400,CALIFORNIA MARITIME ACADEMY             ,CA,94590-8181,Public       ,49,46,95,1175,376,1551
00113700,CALIF STATE UNIV-FULLERTON              ,CA,92831-3599,Public       ,2046,3439,5485,49250,21431,70681
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY   ",CA,94542-3000,Public       ,834,2518,3352,17273,12622,29895
00113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,2299,3445,5744,58052,23930,81982
00114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,1672,3573,5245,37180,21166,58346
00114100,"CALIF STATE UNIV, DOMINGUEZ HILLS       ",CA,90747-0001,Public       ,808,2573,3381,19042,14722,33764
00114200,CALIF STATE UNIV SAN BERNARDINO         ,CA,92407-2397,Public       ,1219,2537,3756,21585,12765,34350
00114300,CAL POLY STATE UNIVERSITY               ,CA,93407-0001,Public       ,1149,604,1753,39938,4486,44424
00114400,CALIF STATE POLYTECHNIC UNIV POMONA     ,CA,91768-2500,Public       ,1314,1608,2922,36402,11215,47617
00114600,CALIF STATE UNIV - CHICO                ,CA,95929-0001,Public       ,1270,1260,2530,23775,6740,30515
00114700,CALIF STATE UNIV - FRESNO               ,CA,93740-8026,Public       ,1554,2514,4068,26937,11986,38923
00114900,HUMBOLDT STATE UNIVERSITY               ,CA,95521-8299,Public       ,591,660,1251,13364,4259,17623
00115000,CALIF STATE UNIV-SACRAMENTO             ,CA,95819-6044,Public       ,2081,3601,5682,33620,18778,52398
00115100,SAN DIEGO STATE UNIVERSITY              ,CA,92182-1690,Public       ,2908,4076,6984,57241,19599,76840
00115300,CALIF STATE UNIV-NORTHRIDGE             ,CA,91330-8307,Public       ,2497,4033,6530,45656,21207,66863
00115400,SAN FRANCISCO STATE UNIVERSITY          ,CA,94132-1740,Public       ,1783,3103,4886,36577,16704,53281
00115500,SAN JOSE STATE UNIVERSITY               ,CA,95192-0036,Public       ,1890,3344,5234,34231,15906,50137
00115600,SONOMA STATE UNIVERSITY                 ,CA,94928-3609,Public       ,715,655,1370,13755,3425,17180
00115700,CALIF STATE UNIV-STANISLAUS             ,CA,95382-0299,Public       ,498,990,1488,10330,5708,16038
00116100,CERRITOS COLLEGE                        ,CA,90650-6296,Public       ,2517,3428,5945,15275,10277,25552
00116200,CHABOT COLLEGE                          ,CA,94545-2400,Public       ,1340,2289,3629,5756,5441,11197
