OPE ID,School,State,Zip Code,School Type,20062007Qtr3_Dependent Students,20062007Qtr3_Independent Students,Quarterly Total,YTD_20062007Qtr3_Dependent Students,YTD_20062007Qtr3_Independent Students,Award Year To Date Total
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,851,642,1493,5417,2823,8240
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,305,836,1141,957,2417,3374
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,311,232,543,1515,829,2344
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,1148,1104,2252,6349,3308,9657
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,345,645,990,866,1329,2195
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,146,550,696,489,1911,2400
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,1342,817,2159,11512,4279,15791
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,146,60,206,1131,234,1365
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-2216,Public       ,719,1126,1845,2560,3874,6434
00101500,ENTERPRISE-OZARK COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,218,356,574,655,861,1516
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,665,623,1288,3073,1945,5018
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,516,931,1447,1595,2374,3969
00101706,GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS,AL,36202-0000,Public       ,63,137,200,179,341,520
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,379,776,1155,982,1899,2881
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,114,81,195,801,243,1044
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,952,1194,2146,4445,3733,8178
00102100,JEFFERSON DAVIS COMMUNITY COLLEGE       ,AL,36427-2790,Public       ,147,223,370,346,580,926
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,759,1247,2006,2180,3675,5855
00102300,JUDSON COLLEGE                          ,AL,36756-2504,Private      ,45,25,70,246,87,333
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,291,899,1190,1498,2276,3774
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,65,8,73,203,20,223
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,580,448,1028,1682,1060,2742
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,179,390,569,927,1418,2345
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,554,1295,1849,1337,3290,4627
00103001,BISHOP STATE COMM COLG-CARVER CMPS      ,AL,36617-0000,Public       ,35,84,119,87,184,271
